Time (ms),EMG,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1549.5529999999999,0,0,0,0,0,0,0
1549.5529999999999,307,0,0,0,0,0,0
1549.5529999999999,306,0,0,0,0,0,0
1549.5529999999999,306,0,0,0,0,0,0
1549.5529999999999,307,0,0,0,0,0,0
1558.206,307,0,0,0,0,0,0
1560.257,306,0,0,0,0,0,0
1561.802,306,0,0,0,0,0,0
1562.8880000000001,306,0,0,0,0,0,0
1562.8880000000001,306,0,0,0,0,0,0
1564.785,306,0,0,0,0,0,0
1567.169,306,0,0,0,0,0,0
1567.169,306,0,0,0,0,0,0
1567.169,306,0,0,0,0,0,0
1567.169,306,0,0,0,0,0,0
1574.033,307,0,0,0,0,0,0
1575.581,307,0,0,0,0,0,0
1575.581,307,0,0,0,0,0,0
1577.496,307,-216,16416,-2124,278,-28,8
1581.0900000000001,307,-216,16416,-2124,278,-28,8
1583.25,307,-216,16416,-2124,278,-28,8
1583.25,306,-216,16416,-2124,278,-28,8
1588.73,307,-216,16416,-2124,278,-28,8
1591.377,307,-216,16416,-2124,278,-28,8
1591.377,307,-216,16416,-2124,278,-28,8
1597.51,307,-216,16416,-2124,278,-28,8
1599.7740000000001,307,-168,16408,-2256,-17,-37,-9
1599.7740000000001,307,-168,16408,-2256,-17,-37,-9
1605.272,307,-168,16408,-2256,-17,-37,-9
1607.937,307,-168,16408,-2256,-17,-37,-9
1607.937,307,-168,16408,-2256,-17,-37,-9
1614.3339999999998,307,-168,16408,-2256,-17,-37,-9
1615.8790000000001,308,-168,16408,-2256,-17,-37,-9
1615.8790000000001,307,-228,16328,-2104,-374,-28,-11
1623.668,306,-228,16328,-2104,-374,-28,-11
1623.668,306,-228,16328,-2104,-374,-28,-11
1628.213,306,-228,16328,-2104,-374,-28,-11
1632.147,307,-228,16328,-2104,-374,-28,-11
1632.147,307,-228,16328,-2104,-374,-28,-11
1636.529,307,-236,16408,-2036,-29,-52,-1
1640.548,307,-236,16408,-2036,-29,-52,-1
1640.548,306,-236,16408,-2036,-29,-52,-1
1646.309,307,-236,16408,-2036,-29,-52,-1
1648.9799999999998,307,-236,16408,-2036,-29,-52,-1
1652.279,308,-236,16408,-2036,-29,-52,-1
1652.279,307,-236,16408,-2036,-29,-52,-1
1657.394,307,-252,16428,-2120,223,-47,-14
1661.477,308,-252,16428,-2120,223,-47,-14
1661.477,307,-252,16428,-2120,223,-47,-14
1665.594,306,-252,16428,-2120,223,-47,-14
1668.428,307,-252,16428,-2120,223,-47,-14
1671.87,307,-252,16428,-2120,223,-47,-14
1673.742,307,-252,16428,-2120,223,-47,-14
1677.5500000000002,308,-228,16276,-2208,-170,-41,-7
1681.779,307,-228,16276,-2208,-170,-41,-7
1681.779,307,-228,16276,-2208,-170,-41,-7
1684.789,307,-228,16276,-2208,-170,-41,-7
1684.789,307,-228,16276,-2208,-170,-41,-7
1692.342,307,-228,16276,-2208,-170,-41,-7
1694.699,308,-228,16276,-2208,-170,-41,-7
1697.9470000000001,307,-196,16320,-2056,-224,-29,-15
1697.9470000000001,308,-196,16320,-2056,-224,-29,-15
1706.1779999999999,307,-196,16320,-2056,-224,-29,-15
1706.1779999999999,307,-196,16320,-2056,-224,-29,-15
1706.1779999999999,307,-196,16320,-2056,-224,-29,-15
1714.38,307,-196,16320,-2056,-224,-29,-15
1715.0829999999999,308,-196,16320,-2056,-224,-29,-15
1715.0829999999999,307,-200,16444,-2104,209,-28,-9
1722.428,308,-200,16444,-2104,209,-28,-9
1722.428,308,-200,16444,-2104,209,-28,-9
1727.7610000000002,306,-200,16444,-2104,209,-28,-9
1731.042,307,-200,16444,-2104,209,-28,-9
1731.042,307,-200,16444,-2104,209,-28,-9
1736.197,307,-200,16444,-2104,209,-28,-9
1739.253,308,-164,16364,-2248,34,-27,-13
1740.251,307,-164,16364,-2248,34,-27,-13
1745.973,307,-164,16364,-2248,34,-27,-13
1746.988,307,-164,16364,-2248,34,-27,-13
1747.949,307,-164,16364,-2248,34,-27,-13
1753.6229999999998,308,-164,16364,-2248,34,-27,-13
1755.2069999999999,308,-164,16364,-2248,34,-27,-13
1755.2069999999999,308,-252,16256,-2172,-266,-44,-13
1762.625,308,-252,16256,-2172,-266,-44,-13
1763.752,307,-252,16256,-2172,-266,-44,-13
1763.752,307,-252,16256,-2172,-266,-44,-13
1771.7730000000001,308,-252,16256,-2172,-266,-44,-13
1774.1290000000001,308,-252,16256,-2172,-266,-44,-13
1774.1290000000001,308,-252,16256,-2172,-266,-44,-13
1779.873,308,-216,16400,-2064,49,-44,-17
1780.95,307,-216,16400,-2064,49,-44,-17
1784.887,307,-216,16400,-2064,49,-44,-17
1787.981,307,-216,16400,-2064,49,-44,-17
1787.981,307,-216,16400,-2064,49,-44,-17
1795.689,308,-216,16400,-2064,49,-44,-17
1796.491,308,-216,16400,-2064,49,-44,-17
1800.606,307,-172,16420,-2164,90,-44,-19
1804.109,307,-172,16420,-2164,90,-44,-19
1805.2079999999999,308,-172,16420,-2164,90,-44,-19
1805.2079999999999,308,-172,16420,-2164,90,-44,-19
1812.281,307,-172,16420,-2164,90,-44,-19
1813.102,308,-172,16420,-2164,90,-44,-19
1814.4,308,-172,16420,-2164,90,-44,-19
1819.4840000000002,307,-212,16316,-2140,-202,-39,-23
1819.4840000000002,307,-212,16316,-2140,-202,-39,-23
1819.4840000000002,307,-212,16316,-2140,-202,-39,-23
1828.9260000000002,308,-212,16316,-2140,-202,-39,-23
1828.9260000000002,307,-212,16316,-2140,-202,-39,-23
1834.1879999999999,307,-212,16316,-2140,-202,-39,-23
1837.1170000000002,308,-232,16324,-2100,-76,-34,-6
1838.402,307,-232,16324,-2100,-76,-34,-6
1843.401,307,-232,16324,-2100,-76,-34,-6
1846.306,307,-232,16324,-2100,-76,-34,-6
1846.306,307,-232,16324,-2100,-76,-34,-6
1851.872,308,-232,16324,-2100,-76,-34,-6
1851.872,308,-232,16324,-2100,-76,-34,-6
1857.596,308,-200,16400,-2092,97,-55,-9
1861.3690000000001,308,-200,16400,-2092,97,-55,-9
1862.838,307,-200,16400,-2092,97,-55,-9
1865.767,306,-200,16400,-2092,97,-55,-9
1867.526,307,-200,16400,-2092,97,-55,-9
1867.526,307,-200,16400,-2092,97,-55,-9
1873.9920000000002,307,-200,16400,-2092,97,-55,-9
1878.346,307,-200,16400,-2092,97,-55,-9
1878.346,307,-148,16336,-2184,-96,-44,-16
1880.614,308,-148,16336,-2184,-96,-44,-16
1885.536,307,-148,16336,-2184,-96,-44,-16
1890.422,307,-148,16336,-2184,-96,-44,-16
1890.422,308,-148,16336,-2184,-96,-44,-16
1893.977,307,-148,16336,-2184,-96,-44,-16
1898.354,308,-212,16328,-2108,-131,-48,-11
1898.354,307,-212,16328,-2108,-131,-48,-11
1902.695,307,-212,16328,-2108,-131,-48,-11
1904.6799999999998,307,-212,16328,-2108,-131,-48,-11
1911.203,308,-212,16328,-2108,-131,-48,-11
1911.537,307,-212,16328,-2108,-131,-48,-11
1911.537,307,-212,16328,-2108,-131,-48,-11
1919.0990000000002,308,-252,16456,-2128,57,-27,4
1919.0990000000002,306,-252,16456,-2128,57,-27,4
1919.0990000000002,306,-252,16456,-2128,57,-27,4
1925.192,306,-252,16456,-2128,57,-27,4
1928.509,307,-252,16456,-2128,57,-27,4
1931.295,307,-252,16456,-2128,57,-27,4
1933.667,307,-252,16456,-2128,57,-27,4
1933.667,308,-252,16456,-2128,57,-27,4
1939.537,308,-268,16304,-2140,-69,-59,-1
1943.562,307,-268,16304,-2140,-69,-59,-1
1944.791,306,-268,16304,-2140,-69,-59,-1
1947.65,307,-268,16304,-2140,-69,-59,-1
1950.507,307,-268,16304,-2140,-69,-59,-1
1950.507,307,-268,16304,-2140,-69,-59,-1
1950.507,307,-268,16304,-2140,-69,-59,-1
1958.84,307,-220,16320,-2112,-139,-59,-9
1963.887,307,-220,16320,-2112,-139,-59,-9
1964.8509999999999,306,-220,16320,-2112,-139,-59,-9
1967.792,306,-220,16320,-2112,-139,-59,-9
1971.181,307,-220,16320,-2112,-139,-59,-9
1976.218,306,-220,16320,-2112,-139,-59,-9
1976.218,307,-220,16320,-2112,-139,-59,-9
1979.085,307,-232,16432,-2136,55,-23,-20
1982.996,307,-232,16432,-2136,55,-23,-20
