Time (ms),EMG,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1549.485,0,0,0,0,0,0,0
1549.485,306,0,0,0,0,0,0
1549.485,306,0,0,0,0,0,0
1549.485,306,0,0,0,0,0,0
1549.485,307,0,0,0,0,0,0
1549.485,307,0,0,0,0,0,0
1557.9879999999998,306,0,0,0,0,0,0
1559.268,306,0,0,0,0,0,0
1559.268,306,0,0,0,0,0,0
1559.268,307,0,0,0,0,0,0
1559.268,306,0,0,0,0,0,0
1566.078,305,0,0,0,0,0,0
1566.078,306,0,0,0,0,0,0
1566.078,306,0,0,0,0,0,0
1566.078,306,0,0,0,0,0,0
1566.078,306,0,0,0,0,0,0
1566.078,306,0,0,0,0,0,0
1574.317,306,0,0,0,0,0,0
1574.317,306,-184,16280,-2232,31,-40,-7
1574.317,307,-184,16280,-2232,31,-40,-7
1583.235,306,-184,16280,-2232,31,-40,-7
1584.523,307,-184,16280,-2232,31,-40,-7
1584.523,306,-184,16280,-2232,31,-40,-7
1590.676,305,-184,16280,-2232,31,-40,-7
1590.676,306,-184,16280,-2232,31,-40,-7
1590.676,306,-184,16280,-2232,31,-40,-7
1599.051,306,-212,16344,-2272,-89,-28,-14
1602.845,306,-212,16344,-2272,-89,-28,-14
1602.845,306,-212,16344,-2272,-89,-28,-14
1607.489,306,-212,16344,-2272,-89,-28,-14
1611.5349999999999,305,-212,16344,-2272,-89,-28,-14
1612.605,306,-212,16344,-2272,-89,-28,-14
1616.523,306,-192,16348,-2252,-47,-28,-13
1618.615,306,-192,16348,-2252,-47,-28,-13
1618.615,306,-192,16348,-2252,-47,-28,-13
1624.483,305,-192,16348,-2252,-47,-28,-13
1624.483,305,-192,16348,-2252,-47,-28,-13
1632.056,305,-192,16348,-2252,-47,-28,-13
1633.02,305,-192,16348,-2252,-47,-28,-13
1635.926,306,-164,16356,-2280,12,-29,-16
1640.0729999999999,306,-164,16356,-2280,12,-29,-16
1640.0729999999999,306,-164,16356,-2280,12,-29,-16
1644.013,305,-164,16356,-2280,12,-29,-16
1648.383,305,-164,16356,-2280,12,-29,-16
1649.3990000000001,306,-164,16356,-2280,12,-29,-16
1649.3990000000001,306,-164,16356,-2280,12,-29,-16
1656.4589999999998,306,-188,16320,-2276,-30,-41,-22
1656.4589999999998,306,-188,16320,-2276,-30,-41,-22
1656.4589999999998,306,-188,16320,-2276,-30,-41,-22
1664.5520000000001,306,-188,16320,-2276,-30,-41,-22
1665.939,306,-188,16320,-2276,-30,-41,-22
1672.882,306,-188,16320,-2276,-30,-41,-22
1672.882,306,-188,16320,-2276,-30,-41,-22
1672.882,306,-216,16308,-2248,-52,-36,-8
1681.2659999999998,306,-216,16308,-2248,-52,-36,-8
1683.105,307,-216,16308,-2248,-52,-36,-8
1683.105,306,-216,16308,-2248,-52,-36,-8
1689.377,305,-216,16308,-2248,-52,-36,-8
1689.377,306,-216,16308,-2248,-52,-36,-8
1693.8899999999999,306,-216,16308,-2248,-52,-36,-8
1697.263,307,-208,16340,-2240,-27,-29,-12
1701.263,306,-208,16340,-2240,-27,-29,-12
1701.263,306,-208,16340,-2240,-27,-29,-12
