Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1545.4470000000001,0,0,0,0,0,0,0,0,0,0
1545.4470000000001,0,0,0,0,0,0,0,0,0,0
1556.23,304,303,301,305,0,0,0,0,0,0
1556.23,303,304,301,305,0,0,0,0,0,0
1556.23,303,304,301,305,0,0,0,0,0,0
1567.047,303,304,302,305,0,0,0,0,0,0
1567.047,303,304,301,305,0,0,0,0,0,0
1567.047,303,304,301,305,0,0,0,0,0,0
1578.1989999999998,304,304,301,305,0,0,0,0,0,0
1578.1989999999998,304,304,301,305,0,0,0,0,0,0
1586.2050000000002,304,304,301,305,0,0,0,0,0,0
1590.092,304,304,302,305,0,0,0,0,0,0
1594.09,303,304,302,305,0,0,0,0,0,0
1596.124,303,304,302,305,0,0,0,0,0,0
1602.287,303,304,302,305,2048,16172,788,-60,10,-38
1602.287,303,304,301,305,2048,16172,788,-60,10,-38
1615.1979999999999,303,304,301,305,2048,16172,788,-60,10,-38
1618.3300000000002,303,304,301,305,2048,16172,788,-60,10,-38
1623.016,304,304,302,305,2048,16172,788,-60,10,-38
1626.395,303,304,302,305,2048,16172,788,-60,10,-38
1633.867,304,304,302,305,2048,16172,788,-60,10,-38
1637.769,304,304,301,305,2048,16172,788,-60,10,-38
1644.259,304,304,302,305,2096,16464,868,15,36,-70
1652.057,303,303,302,305,2096,16464,868,15,36,-70
1656.1589999999999,303,305,302,305,2096,16464,868,15,36,-70
1660.2369999999999,304,304,301,305,2096,16464,868,15,36,-70
1667.459,303,304,302,305,2096,16464,868,15,36,-70
1667.459,303,304,301,305,2096,16464,868,15,36,-70
1667.459,304,304,302,305,2096,16464,868,15,36,-70
1678.401,304,304,302,305,2004,16020,816,-104,8,50
1688.6989999999998,303,304,302,305,2004,16020,816,-104,8,50
1693.023,304,304,302,305,2004,16020,816,-104,8,50
1697.117,303,304,302,305,2004,16020,816,-104,8,50
1700.683,303,304,302,305,2004,16020,816,-104,8,50
1700.683,304,304,302,305,2004,16020,816,-104,8,50
1713.5,304,304,302,305,2004,16020,816,-104,8,50
1716.644,304,304,301,305,2004,16020,816,-104,8,50
1722.931,304,304,301,305,2048,16296,808,-39,41,-71
1722.931,304,304,302,305,2048,16296,808,-39,41,-71
1733.981,303,304,301,305,2048,16296,808,-39,41,-71
1742.184,304,304,302,305,2048,16296,808,-39,41,-71
1746.2759999999998,303,304,302,305,2048,16296,808,-39,41,-71
1750.356,304,304,302,305,2048,16296,808,-39,41,-71
1758.545,305,304,301,305,2048,16296,808,-39,41,-71
1759.457,304,304,302,305,2048,16296,808,-39,41,-71
1766.4820000000002,304,304,302,305,2076,16452,900,-61,40,-11
1773.0520000000001,304,304,302,305,2076,16452,900,-61,40,-11
1778.577,303,304,302,305,2076,16452,900,-61,40,-11
1778.577,303,304,302,305,2076,16452,900,-61,40,-11
1789.469,303,304,302,305,2076,16452,900,-61,40,-11
1789.469,304,304,302,305,2076,16452,900,-61,40,-11
1799.82,304,304,301,305,2076,16452,900,-61,40,-11
1803.423,304,304,302,305,1984,16040,848,-78,14,-20
1811.821,303,304,301,305,1984,16040,848,-78,14,-20
1815.9099999999999,304,304,302,305,1984,16040,848,-78,14,-20
1817.923,304,304,301,305,1984,16040,848,-78,14,-20
1823.056,304,304,302,305,1984,16040,848,-78,14,-20
1823.056,303,304,302,305,1984,16040,848,-78,14,-20
1834.2,304,304,301,305,1984,16040,848,-78,14,-20
1844.2549999999999,304,304,302,305,2092,16612,892,-38,24,-34
1848.725,304,304,302,305,2092,16612,892,-38,24,-34
1852.749,304,305,301,305,2092,16612,892,-38,24,-34
1860.952,304,304,302,305,2092,16612,892,-38,24,-34
1865.114,304,305,302,305,2092,16612,892,-38,24,-34
1869.156,304,304,302,305,2092,16612,892,-38,24,-34
1870.673,303,304,302,305,2092,16612,892,-38,24,-34
1881.433,304,304,302,305,2092,16612,892,-38,24,-34
1883.964,303,304,302,305,2032,16068,808,-87,-4,33
1889.645,304,304,302,305,2032,16068,808,-87,-4,33
1889.645,303,304,302,305,2032,16068,808,-87,-4,33
1900.544,303,304,302,305,2032,16068,808,-87,-4,33
1900.544,303,304,302,305,2032,16068,808,-87,-4,33
1914.1490000000001,303,304,302,305,2032,16068,808,-87,-4,33
1917.792,303,304,302,304,2032,16068,808,-87,-4,33
1922.043,304,304,302,305,2052,16464,824,-16,42,-80
1922.832,304,304,302,305,2052,16464,824,-16,42,-80
1934.7510000000002,304,304,302,304,2052,16464,824,-16,42,-80
1938.7669999999998,303,304,302,305,2052,16464,824,-16,42,-80
1939.769,303,304,302,305,2052,16464,824,-16,42,-80
1944.974,304,304,302,305,2052,16464,824,-16,42,-80
1955.3670000000002,303,304,302,305,2052,16464,824,-16,42,-80
1959.6970000000001,303,304,302,305,2052,16464,824,-16,42,-80
1967.278,304,304,302,305,2048,16272,880,-47,14,13
1971.552,305,304,302,305,2048,16272,880,-47,14,13
1973.567,304,304,302,305,2048,16272,880,-47,14,13
1978.538,304,304,302,305,2048,16272,880,-47,14,13
1986.542,303,304,302,305,2048,16272,880,-47,14,13
1989.485,304,304,302,305,2048,16272,880,-47,14,13
1989.485,304,304,302,305,2048,16272,880,-47,14,13
2004.308,304,304,302,305,2048,16272,880,-47,14,13
2008.41,304,304,302,305,2028,16196,780,-110,-11,-12
2012.511,304,304,302,305,2028,16196,780,-110,-11,-12
2020.7259999999999,304,304,302,305,2028,16196,780,-110,-11,-12
2024.239,303,304,302,305,2028,16196,780,-110,-11,-12
2025.206,303,304,302,305,2028,16196,780,-110,-11,-12
2034.0539999999999,303,305,302,305,2028,16196,780,-110,-11,-12
2034.0539999999999,304,304,302,305,2028,16196,780,-110,-11,-12
2049.2129999999997,304,304,302,305,2092,16372,824,-15,33,-59
2050.165,304,304,302,305,2092,16372,824,-15,33,-59
2056.139,304,305,302,305,2092,16372,824,-15,33,-59
2058.1420000000003,304,304,302,305,2092,16372,824,-15,33,-59
2069.8500000000004,303,304,302,305,2092,16372,824,-15,33,-59
2073.9390000000003,303,305,301,305,2092,16372,824,-15,33,-59
2078.502,303,304,302,305,2092,16372,824,-15,33,-59
2078.502,303,305,302,305,2072,16168,840,-96,11,21
2090.5,304,304,302,305,2072,16168,840,-96,11,21
2094.5209999999997,304,304,302,305,2072,16168,840,-96,11,21
2100.479,304,304,302,305,2072,16168,840,-96,11,21
2100.479,304,304,301,305,2072,16168,840,-96,11,21
2110.926,304,304,302,305,2072,16168,840,-96,11,21
2118.9990000000003,304,304,302,305,2072,16168,840,-96,11,21
2123.0829999999996,304,304,302,305,2072,16168,840,-96,11,21
2127.183,303,304,302,305,2020,16288,844,-26,27,-36
2131.268,304,304,302,305,2020,16288,844,-26,27,-36
2139.561,304,304,302,305,2020,16288,844,-26,27,-36
2139.561,304,304,301,305,2020,16288,844,-26,27,-36
2145.416,304,304,302,305,2020,16288,844,-26,27,-36
2155.379,303,304,302,304,2020,16288,844,-26,27,-36
2158.694,304,304,302,305,2020,16288,844,-26,27,-36
2158.694,304,304,302,305,2064,16400,840,-69,26,-8
2172.159,304,304,302,305,2064,16400,840,-69,26,-8
2176.268,304,304,302,305,2064,16400,840,-69,26,-8
2178.329,303,304,302,305,2064,16400,840,-69,26,-8
2178.329,304,304,302,305,2064,16400,840,-69,26,-8
2192.726,303,304,302,305,2064,16400,840,-69,26,-8
2196.82,303,304,302,305,2064,16400,840,-69,26,-8
2200.52,303,304,302,305,2064,16400,840,-69,26,-8
2200.52,304,304,302,305,2032,16144,768,-53,-11,-10
2213.2019999999998,304,304,302,305,2032,16144,768,-53,-11,-10
2217.297,303,304,302,305,2032,16144,768,-53,-11,-10
2225.4809999999998,304,304,302,305,2032,16144,768,-53,-11,-10
2229.5699999999997,304,305,302,305,2032,16144,768,-53,-11,-10
2234.018,304,304,302,305,2032,16144,768,-53,-11,-10
2234.018,304,304,302,305,2032,16144,768,-53,-11,-10
2245.969,304,304,302,305,2024,16372,852,-55,14,-42
2250.066,304,304,302,305,2024,16372,852,-55,14,-42
2256.3140000000003,304,304,301,305,2024,16372,852,-55,14,-42
2258.819,303,304,302,305,2024,16372,852,-55,14,-42
2266.4849999999997,304,304,301,304,2024,16372,852,-55,14,-42
2267.391,304,304,301,305,2024,16372,852,-55,14,-42
2278.725,304,304,302,305,2024,16372,852,-55,14,-42
2282.731,304,304,302,305,2024,16372,852,-55,14,-42
2289.544,304,304,302,305,2088,16396,892,-41,23,-2
2289.544,304,304,302,305,2088,16396,892,-41,23,-2
