Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
553.2930000000001,1011,444,302,305,960,16560,-1500,-65,19,-9
1553.2930000000001,1011,432,302,305,988,16724,-1372,-30,18,-34
1564.364,1011,422,302,306,976,16496,-1240,118,49,-26
1564.364,1011,413,302,305,992,16528,-1428,55,25,-23
1564.364,1011,404,302,305,976,16532,-1452,-123,33,-17
1575.458,1011,395,302,306,952,16404,-1396,-245,27,-26
1586.36,1011,388,302,306,992,16264,-1340,-340,11,-24
1587.102,1010,380,302,305,952,16280,-1420,-484,40,-42
1592.605,1011,374,302,306,1008,16296,-1492,-679,52,-55
1598.103,1010,367,302,306,1032,16400,-1444,-784,43,-57
1598.103,1011,361,302,306,976,16368,-1304,-902,71,-50
1609.1299999999999,1010,357,302,306,924,16328,-1220,-767,59,-40
1609.1299999999999,1010,354,302,305,1024,16376,-1324,-593,33,-45
1609.1299999999999,1010,351,302,305,916,16368,-1296,-422,33,1
1620.283,1010,349,302,305,928,16432,-1124,-92,5,-14
1630.8039999999999,1011,346,302,306,1012,16416,-1252,24,14,17
1633.8619999999999,1010,342,302,306,976,16420,-1204,231,26,11
1633.8619999999999,1011,339,301,305,948,16392,-1256,360,23,-2
1642.35,1010,336,302,305,1008,16452,-1228,448,18,28
1642.35,1011,332,302,305,912,16380,-1076,801,216,20
1653.287,1011,330,302,305,932,16392,-1260,564,166,6
1653.287,1010,327,302,305,920,16360,-1328,436,132,-18
1664.412,1011,324,302,305,988,16344,-1356,472,120,10
1664.412,1011,321,302,306,984,16328,-1248,638,132,-16
1675.48,1010,319,302,306,964,16312,-1688,186,1,-10
1675.48,1010,316,302,306,916,16412,-1532,-324,34,-40
1675.48,1011,315,302,306,948,16532,-1268,-180,-12,-18
1692.679,1010,313,302,305,976,16356,-1312,-93,8,-26
1692.679,1010,311,302,305,968,16388,-1364,-75,18,-21
1697.8200000000002,1011,309,302,306,996,16440,-1424,-154,22,-16
1697.8200000000002,1011,309,301,306,968,16396,-1324,-86,14,-33
1709.1490000000001,1011,309,301,306,936,16360,-1356,-48,5,-4
1709.1490000000001,1010,309,302,305,984,16392,-1360,-68,25,19
1719.9370000000001,1010,309,302,305,980,16424,-1364,-72,8,-17
1719.9370000000001,1011,308,302,305,972,16436,-1360,-22,24,-14
1719.9370000000001,1010,309,302,305,944,16348,-1376,-53,25,-29
1731.047,1010,309,302,306,944,16380,-1380,-62,18,4
1741.9119999999998,1011,309,302,305,964,16372,-1308,-150,13,7
1742.1819999999998,1010,308,302,305,980,16320,-1368,-39,7,21
1742.1819999999998,1010,309,302,305,988,16332,-1412,-156,15,-15
1753.295,1011,309,302,305,984,16404,-1392,-113,-19,14
1753.295,1010,309,302,305,988,16396,-1368,-156,-10,11
1764.398,1010,310,302,305,900,16316,-1388,-224,-27,-3
1764.398,1010,310,302,305,912,16384,-1404,-309,-36,0
1775.245,1010,312,302,305,972,16324,-1400,-358,-56,-2
1775.506,1010,312,302,305,1004,16400,-1348,-309,0,-3
1786.802,1011,312,302,306,908,16428,-1400,-362,13,-19
1786.802,1010,312,302,305,956,16400,-1376,-394,8,-1
1792.808,1011,313,302,305,952,16380,-1364,-418,26,-26
1797.711,1011,313,302,305,980,16392,-1384,-513,2,-12
1797.711,1010,313,301,305,944,16412,-1372,-600,7,-3
1809.038,1010,314,301,305,960,16372,-1500,-909,36,-12
1809.038,1010,314,302,305,960,16384,-1364,-1258,54,-27
