Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0000001,303,311,307,312,14568,-5932,2852,-147,112,-16
1561.2269999999999,303,310,307,312,14580,-5836,2808,-108,74,-22
1565.281,304,310,306,314,14520,-5880,2812,-142,63,-17
1569.397,304,309,305,312,14532,-5744,2760,-116,32,-57
1573.507,304,307,303,310,14580,-5780,2768,-166,28,-48
1581.696,303,306,302,311,14608,-5804,2740,-167,-2,-94
1585.815,304,306,300,312,14624,-5876,2792,-228,-11,-75
1589.8220000000001,303,306,299,311,14724,-5888,2740,-248,-19,-109
1593.975,303,304,296,308,14700,-5976,2764,-322,6,-119
1602.1799999999998,303,304,294,308,14744,-5980,2804,-321,-47,-156
1606.302,304,305,293,310,14708,-6036,2812,-332,-58,-181
1610.365,303,305,292,308,14764,-6020,2788,-308,-86,-225
1614.464,304,305,290,306,14816,-6064,2836,-307,-88,-237
1618.5929999999998,304,306,289,306,14748,-6040,2836,-258,-107,-257
1626.819,304,307,289,308,14824,-6104,2828,-238,-121,-268
1630.8590000000002,305,308,289,306,14796,-6116,2824,-190,-173,-293
1634.954,304,307,288,304,14800,-6100,2828,-150,-182,-283
1639.049,305,308,289,305,14800,-6012,2832,-135,-182,-283
1647.24,305,309,290,306,14796,-6064,2892,-128,-201,-263
1651.361,305,309,290,305,14760,-6112,2764,-128,-194,-250
1655.431,305,309,291,304,14732,-6208,2800,-124,-191,-252
1659.537,305,308,291,304,14776,-6084,2812,-132,-198,-259
1663.6470000000002,305,310,292,306,14716,-6116,2872,-127,-175,-265
1671.8310000000001,305,311,293,304,14720,-6084,2808,-135,-135,-248
1676.0,305,311,293,302,14652,-6112,2924,-104,-80,-221
1680.009,304,313,295,303,14704,-6028,2884,-134,-40,-219
1684.0949999999998,303,314,296,305,14644,-6052,2944,-117,-23,-192
1692.279,302,316,297,303,14640,-6020,2976,-138,28,-188
1696.401,301,316,298,301,14612,-6052,3044,-162,103,-160
1700.476,300,317,298,302,14600,-6088,3152,-226,154,-145
1704.577,299,319,299,303,14664,-6072,3368,-367,297,-205
1709.384,299,321,299,302,14732,-6080,3392,-531,418,-213
1716.896,298,321,300,300,14772,-5952,3604,-492,491,-138
1720.952,298,321,300,301,14656,-5940,3744,-497,499,-194
1725.054,298,323,300,302,14652,-6244,3836,-585,636,-219
1729.152,298,323,299,301,14876,-6392,4264,-845,1003,-280
1737.3529999999998,298,323,299,299,15004,-6504,4600,-928,1541,-312
1741.454,298,323,299,301,14840,-6268,4620,-469,1748,-279
1745.523,299,324,299,302,14620,-6300,4556,354,1452,-196
1749.625,302,324,298,300,14500,-6380,4036,1170,777,-232
1757.822,303,323,297,299,14436,-6564,3604,1787,184,-225
1761.9499999999998,302,322,297,300,14648,-6496,3056,2204,-181,-211
1765.846,299,324,296,301,14756,-6440,2740,2590,-205,-146
1770.0880000000002,295,325,296,301,14732,-6368,2564,2810,-23,30
1774.1979999999999,291,324,296,299,14792,-6316,2596,2966,154,170
1782.394,288,325,296,300,14776,-6340,2848,2994,282,332
1786.494,285,326,295,301,14832,-6380,3004,2912,251,465
1790.575,282,326,295,300,14872,-6580,3064,2846,150,512
1794.665,281,326,294,299,14868,-6760,3120,2781,96,592
1798.819,282,325,294,300,14920,-6852,3100,2664,95,640
1806.9850000000001,282,324,293,302,14832,-6856,3052,2591,109,620
1811.058,283,320,293,301,14856,-6700,2968,2553,109,566
1815.149,284,315,293,299,14824,-6580,3040,2693,207,529
1819.2649999999999,286,310,292,300,14784,-6712,3020,2802,378,550
1827.4470000000001,287,306,292,301,14776,-6452,2996,2714,463,416
1831.631,288,299,291,300,14684,-6260,3220,2714,554,276
1835.63,289,292,292,299,14572,-5908,3476,2592,695,204
1839.731,290,285,292,300,14516,-5704,3540,2463,710,219
1847.922,292,279,292,302,14480,-5508,3620,2331,607,241
1852.057,293,274,292,301,14428,-5512,3616,2204,470,255
1856.1019999999999,295,270,292,299,14472,-5600,3576,2004,351,274
1860.2069999999999,298,267,292,301,14508,-5716,3644,1728,374,301
1864.9119999999998,301,267,293,303,14564,-5708,3648,1361,424,312
1872.508,304,265,293,301,14596,-5704,3632,986,421,271
1876.05,307,263,293,299,14556,-5620,3572,601,364,232
1880.683,309,262,294,301,14556,-5568,3496,228,363,251
1884.8149999999998,313,263,296,302,14528,-5500,3496,-139,403,271
1892.9759999999999,315,264,297,302,14536,-5464,3356,-455,441,278
1897.103,318,264,297,300,14496,-5460,3312,-735,361,301
1901.159,321,267,299,302,14476,-5576,3100,-938,213,359
1905.2579999999998,324,270,301,304,14392,-5744,2932,-1068,76,412
1909.042,326,272,302,302,14380,-5944,2800,-1094,5,434
1917.5690000000002,329,273,303,301,14344,-6132,2664,-1080,-99,362
1921.655,331,275,305,303,14444,-6236,2636,-1152,-102,262
1925.818,333,277,306,304,14464,-6220,2784,-1216,-34,153
1929.84,335,278,307,303,14488,-6192,2920,-1236,173,67
1938.011,336,277,308,302,14532,-6132,3100,-1341,249,3
1942.405,336,277,309,303,14532,-5996,3076,-1449,211,-31
1946.22,335,276,309,305,14520,-5904,3120,-1486,154,-83
1950.3410000000001,333,274,309,303,14612,-5928,3308,-1657,269,-125
1954.763,332,271,308,302,14764,-5912,3612,-2029,518,-122
1962.711,331,269,307,304,14840,-5768,3908,-2621,843,-148
1966.721,330,268,305,307,14900,-5556,4084,-3429,1164,-191
1971.116,329,265,303,305,14932,-5424,4260,-4131,1433,-141
1974.905,327,262,301,305,14928,-5420,4440,-5008,1627,-45
1983.103,326,261,299,307,14972,-5400,4540,-6059,1789,65
1987.474,325,259,296,309,14996,-5324,4512,-7295,1905,153
1991.1049999999998,323,256,293,307,15080,-5392,4540,-8762,2235,209
1995.387,320,252,290,306,15056,-5532,4428,-9411,2331,592
2003.584,317,252,288,308,15008,-5708,4280,-10446,2421,755
2007.7250000000001,315,253,286,310,15124,-5860,4212,-11213,2501,954
2011.818,313,255,283,308,15100,-6232,4288,-11894,2703,1135
