Time (ms)          ,EMG ,AccX ,AccY ,AccZ  ,GyroX ,GyroY ,GyroZ
1465.113           ,  0 ,0    ,   0 ,    0 ,0     ,0     ,0
1465.113           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1465.113           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1465.113           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1465.113           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1482.057           ,930 ,0    ,   0 ,    0 ,0     ,0     ,0
1483.511           ,930 ,0    ,   0 ,    0 ,0     ,0     ,0
1484.537           ,930 ,0    ,   0 ,    0 ,0     ,0     ,0
1485.5259999999998 ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1486.828           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1487.8329999999999 ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1490.55            ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1492.256           ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1493.98            ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1493.98            ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1493.98            ,931 ,0    ,   0 ,    0 ,0     ,0     ,0
1498.075           ,930 ,0    ,   0 ,    0 ,0     ,0     ,0
1500.0919999999999 ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1503.101           ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1506.096           ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1508.103           ,930 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1512.194           ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1513.7430000000002 ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1516.823           ,931 ,-308 ,4100 ,15688 ,-31   ,-58   ,-20
1519.384           ,930 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1524.135           ,931 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1525.8210000000001 ,930 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1527.7730000000001 ,931 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1531.7160000000001 ,931 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1534.711           ,931 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1537.074           ,931 ,-308 ,3988 ,15528 ,-29   ,-53   ,-14
1540.29            ,931 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1541.2820000000002 ,931 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1545.573           ,930 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1548.807           ,930 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1551.881           ,931 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1554.1640000000002 ,931 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1556.632           ,931 ,-340 ,4048 ,15620 ,-84   ,-52   ,-16
1558.5659999999998 ,930 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1558.5659999999998 ,931 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1565.009           ,930 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1569.026           ,931 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1571.039           ,931 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1573.216           ,931 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1577.359           ,931 ,-288 ,4088 ,15648 ,-16   ,-55   ,-14
1578.948           ,930 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1581.901           ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1584.908           ,930 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1586.8709999999999 ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1589.6399999999999 ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1593.461           ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1595.113           ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1599.083           ,931 ,-292 ,4012 ,15604 ,-79   ,-57   ,-5
1602.0829999999999 ,931 ,-312 ,4044 ,15608 ,-10   ,-51   ,-6
1604.0639999999999 ,930 ,-312 ,4044 ,15608 ,-10   ,-51   ,-6
1606.072           ,931 ,-312 ,4044 ,15608 ,-10   ,-51   ,-6
1609.601           ,930 ,-312 ,4044 ,15608 ,-10   ,-51   ,-6
1611.6200000000001 ,931 ,-312 ,4044 ,15608 ,-10   ,-51   ,-6
