Time (ms),EMG,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1.046,280,-556,14064,8128,-116,-39,-12
2.016,279,-548,14060,8264,-304,-46,-6
3.0,280,-548,14060,8264,-304,-46,-6
4.001,280,-556,14064,8128,-116,-39,-12
5.001,279,-548,14060,8264,-304,-46,-6
5.999,280,-548,14060,8264,-304,-46,-6
1544.815,0,0,0,0,0,0,0
1549.758,118,0,0,0,0,0,0
1549.758,118,0,0,0,0,0,0
1550.759,117,0,0,0,0,0,0
1553.763,119,0,0,0,0,0,0
1554.758,118,0,0,0,0,0,0
1557.765,120,0,0,0,0,0,0
1558.76,120,0,0,0,0,0,0
1559.764,121,0,0,0,0,0,0
1561.76,121,0,0,0,0,0,0
1562.76,123,0,0,0,0,0,0
1562.76,121,0,0,0,0,0,0
1565.771,122,0,0,0,0,0,0
1566.76,124,0,0,0,0,0,0
1566.76,126,0,0,0,0,0,0
1569.763,125,0,0,0,0,0,0
1570.76,125,0,0,0,0,0,0
1573.76,127,0,0,0,0,0,0
1575.759,130,-552,14064,8212,31,-50,-16
1578.779,131,-552,14064,8212,31,-50,-16
1581.759,131,-552,14064,8212,31,-50,-16
1582.7610000000002,134,-552,14064,8212,31,-50,-16
1586.763,137,-552,14064,8212,31,-50,-16
1590.7649999999999,139,-552,14064,8212,31,-50,-16
1591.765,140,-552,14064,8212,31,-50,-16
1594.762,143,-552,14064,8212,31,-50,-16
1598.7610000000002,143,-528,14156,8248,-82,-43,-18
1599.766,146,-528,14156,8248,-82,-43,-18
1602.768,146,-528,14156,8248,-82,-43,-18
1606.76,149,-528,14156,8248,-82,-43,-18
1607.777,150,-528,14156,8248,-82,-43,-18
1611.778,154,-528,14156,8248,-82,-43,-18
1615.315,156,-528,14156,8248,-82,-43,-18
1615.861,157,-556,14092,8224,18,-25,-2
1619.392,159,-556,14092,8224,18,-25,-2
1622.948,161,-556,14092,8224,18,-25,-2
1623.949,164,-556,14092,8224,18,-25,-2
